"Years","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"            Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1500654","1501002","1498943","1505543","1511319","1517317","1523353","1542384","1569517","1592006","1616051","1642052","1702583","1751940","1800016","1845195","1893951","1942824","1992961",
"            Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"221598","231793","241638","252763","263722","271743","280415","290756","303018","315223","327123","339458","360977","380373","400010","419805","438323","456925","476181",
"            Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1918168","1908904","1901729","1897784","1890139","1887004","1892949","1904849","1929412","1946648","1962858","1978371","2041410","2087512","2134925","2177201","2226643","2279866","2335630",
"            District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69764","68845","68014","67372","66854","66602","65966","66232","66785","67800","69104","70162","72665","74967","77360","79995","82022","83592","85303",
"            Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"517719","518900","521544","525739","529249","534941","515760","524996","537863","549142","560786","571838","596130","614849","634418","655045","677187","697370","718433",
"            South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"108196","108125","108011","108231","108754","109204","110593","112049","113875","115343","116811","117715","120895","124383","128361","132353","136630","141540","146854",
"            Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"183713","185166","186668","188240","189805","191380","194447","198004","203338","207670","211968","215985","226024","234816","243314","250228","258407","267065","275999",
"            New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"148381","149276","150627","152341","155869","157699","161873","166079","171358","175269","179404","184323","194544","203519","212675","219712","227707","236496","245645",
"            Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2812155","2833799","2858125","2889234","2932310","2981087","3004334","3053176","3135004","3205715","3278301","3359781","3508297","3637766","3773019","3915631","4067409","4209641","4358071",
"            Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"121288","122525","123796","125295","127276","129431","132782","136015","140331","143927","147458","150509","157397","163354","169627","176100","183202","190889","198902",
"            Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"456570","457261","457785","459980","463093","466769","475047","481361","490235","499651","509006","515673","533771","547606","561210","574824","589361","603962","619553",
"            Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"470752","470976","471685","474250","474627","475419","476275","481540","492594","500465","508721","517223","535813","550042","562926","574842","586999","600252","615121",
"            Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"356528","355603","354384","354638","355746","356985","359408","362512","367325","372103","377068","381262","393991","404231","414634","424892","436299","448869","462241",
"            Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"232430","232281","232199","231998","232130","233426","235236","237722","240748","244132","247301","249307","257339","263332","270728","277957","286069","294738","303666",
"            Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"438982","442433","447975","454143","461454","470082","481720","493302","508044","522740","536871","550766","578511","602506","628102","654307","681765","709472","738691",
"            Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102169","103436","105062","107054","109407","112079","115828","119205","123716","126751","130098","133758","140769","147448","153911","160241","166905","173826","181086",
"            Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"505595","507157","508618","513734","518769","527867","538285","548046","560662","570538","580416","590368","614602","634070","654703","672648","691437","710854","730626",
"            Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"191226","194367","197940","201563","205856","212772","220866","226890","235191","243394","251140","258207","270664","282149","294128","306323","319753","334411","350478",
"            Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1221299","1226259","1230163","1238574","1247043","1255266","1269443","1291238","1321021","1343623","1366313","1388661","1443193","1487835","1531671","1572315","1618081","1666823","1716604",
"            New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2453462","2462827","2472398","2480995","2488224","2494128","2492228","2517548","2559269","2592210","2628921","2672307","2767948","2845320","2923921","2998402","3073321","3143903","3213534",
"            Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"671332","683233","696122","711684","730624","756532","780264","802967","832164","860446","889129","919811","970001","1014035","1060700","1109005","1157736","1207111","1258250",
"            Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146458","148848","151825","155090","159061","164132","170746","176361","183178","189723","196132","201735","211972","221687","231487","241220","252405","264884","278282",
"            South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"487207","493935","500477","508784","519533","533157","555170","573594","596978","616932","637208","658458","695664","727453","760760","794472","829614","864034","899915",
"            Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57884","58505","59139","60195","61176","62187","63310","64764","66678","68607","70546","72250","75786","78843","81944","85179","88332","91788","95375",
"            Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"756231","758184","759462","763370","767548","773936","784612","796345","812335","826976","841278","852776","883262","907950","932486","955242","980425","1006805","1033964",
"            Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1509407","1509931","1511762","1519056","1522292","1527229","1541165","1561113","1589129","1607723","1625948","1644528","1703724","1751282","1800084","1843360","1891228","1942494","1995022",
"            Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"418286","425441","431797","440215","450063","461584","479066","494959","514135","534380","554400","575141","611133","643571","675652","707607","739472","773256","808229",
"            Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"436380","435764","434430","434724","435422","436059","438535","442183","446790","450126","453671","456654","469463","478994","489637","500303","512417","525922","539830",
"            Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2081043","2106665","2133468","2169960","2209185","2257814","2329651","2388097","2463988","2542745","2620871","2702365","2839791","2958787","3081914","3206152","3334097","3463404","3602320",
"            Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"860898","857347","855012","853629","850906","850015","851232","860183","877174","891686","906606","922052","959517","990400","1020918","1048739","1077647","1107183","1139100",
"            New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"213323","217399","221303","225924","230396","237019","244332","250773","258374","266217","274138","281749","294575","306129","317560","329166","340821","353403","366189",
"            Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36106","37415","38868","40409","42148","43945","45600","47606","50322","52879","55559","58206","62438","66197","69953","74020","78267","82579","87011",
"            Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"161115","163386","165453","167971","170467","174236","176807","179574","184461","190379","196621","203119","212188","221161","229841","238405","246521","253698","260967",
"            West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"277060","276903","277528","279225","279941","281261","284105","287475","291914","294949","298155","301134","311783","320250","329319","337102","345126","352754","359878",
"            Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"152430","151444","150827","150048","149703","148273","148116","147818","149702","151120","152413","153784","159088","162943","166620","169697","173547","177818","182254",
"            Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"703347","704905","708511","713138","718291","724024","730958","740868","755862","767936","780204","791142","820280","844518","870409","895139","922711","953722","985473",
"            Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"795196","806139","817654","830905","843511","862030","880307","900391","930374","956921","983570","1010653","1062090","1105437","1147985","1188929","1230472","1272166","1315401",
"            Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"344018","344562","345400","347927","351320","356199","358197","362956","370316","375968","382138","388644","403301","414623","426336","437735","449337","461740","474475",
"            North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94585","94245","93991","93768","94309","93956","94382","94728","95785","96572","97645","98469","100770","102587","104619","106948","109667","113285","116637",
"            California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3608449","3651646","3692105","3745381","3783384","3839253","3872578","3947236","4056760","4164493","4273566","4392744","4592295","4771017","4954767","5144133","5319901","5490373","5669025",
"            Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"753812","756095","757957","764337","769237","776261","787437","799908","817632","830748","844263","856952","888816","914635","941805","966539","994322","1023948","1055021",
"            Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"663772","669956","677450","687110","699007","713571","733951","752933","777493","806616","833804","858745","904554","944158","985728","1028688","1072898","1117203","1164232",
"        Working-age (18-64) (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"174716654","177007489","179166529","181143646","183304244","185343132","187458091","189386091","191211743","193014187","194722776","196299335","197003963","197795558","198580269","199366342","200089827","200646789","200999017","201142110"
"            New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11860944","11947586","12013170","12075438","12109278","12124026","12154626","12203838","12280997","12371930","12451352","12530091","12541608","12546451","12526872","12482693","12419988","12337650","12260573",
"            Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3598654","3630870","3663524","3696046","3740781","3789875","3844240","3900238","3936061","3973988","4002276","4028682","4042458","4051247","4062808","4078483","4097788","4126685","4154093",
"            Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3115840","3191229","3272195","3345009","3437326","3553377","3674010","3756819","3819547","3855365","3892303","3937706","3969795","4002730","4049183","4095609","4151669","4202707","4270739",
"            Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"782542","797969","812561","829049","848049","869458","893170","913720","928795","938640","945409","953288","955625","961075","968919","976611","992264","1010575","1028954",
"            Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6135037","6171551","6201237","6233498","6254958","6264032","6263090","6239983","6206989","6185365","6177035","6191065","6180820","6176002","6168502","6150804","6139250","6128477","6114643",
"            Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3048595","3092664","3127298","3161315","3191548","3219270","3250768","3279817","3304014","3324611","3341232","3365687","3371009","3382254","3391343","3395307","3402041","3410097","3418762",
"            North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5141501","5220064","5290567","5342648","5431445","5524302","5654052","5769580","5886651","5969961","6049729","6096846","6124006","6160718","6191859","6233586","6293837","6342598","6393710",
"            Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12957155","13232770","13496485","13727991","13976579","14229339","14583131","14878014","15169134","15466109","15744051","16009976","16258554","16476714","16752673","17039586","17286922","17493434","17701426",
"            Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1623706","1637406","1651858","1667506","1686390","1706635","1731368","1747096","1761263","1774374","1788801","1801208","1798642","1797002","1794960","1795434","1796918","1798292","1798818",
"            Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7688563","7743826","7788251","7824916","7866855","7895268","7939356","7983348","8024120","8066366","8101456","8132743","8121952","8121312","8096331","8057013","8003002","7947990","7890853",
"            New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5227366","5274979","5320178","5356838","5386210","5409443","5430700","5451343","5476819","5513297","5547366","5570064","5562890","5560925","5551847","5540958","5526296","5519161","5516350",
"            South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2526375","2554926","2586787","2617728","2662277","2700052","2752635","2806326","2857902","2893211","2918959","2936987","2945213","2959299","2979949","3006308","3030870","3053755","3078267",
"            Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"307642","309940","315383","319076","323956","327948","333832","341352","347854","356284","358451","359604","364102","365611","362240","360937","357185","350899","347587",
"            Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2749020","2763394","2777894","2800036","2823241","2850474","2889103","2918474","2946335","2974705","2994157","3002965","3000811","3000875","2994773","2988289","2981482","2974857","2971137",
"            Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5262287","5361629","5446098","5516427","5617714","5703763","5844026","5958752","6053408","6128408","6181327","6239743","6278916","6296660","6333044","6382534","6442399","6496262","6553315",
"            Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3352630","3399587","3450076","3493632","3532980","3570907","3603291","3625292","3647493","3681774","3724099","3759647","3775413","3786553","3789766","3792301","3783338","3778639","3771434",
"            New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1099749","1110887","1131227","1150873","1172228","1192643","1212680","1230572","1241074","1255115","1271946","1281367","1279527","1277334","1268860","1261753","1257183","1251612","1247086",
"            South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"444967","449052","453315","458172","464838","469813","475108","480727","485401","490520","496142","501747","507102","510122","511074","510425","512497","515595","517775",
"            Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"401242","407528","414987","421162","430803","437697","444122","448350","454009","459665","470351","475278","479604","482570","479601","477455","476427","471599","466611",
"            Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"757052","768429","780560","788664","804999","819996","833611","835894","846658","853542","863468","870231","875321","878547","877119","875896","874099","864930","856110",
"            Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3998872","4035259","4059542","4075564","4081834","4089135","4108650","4131619","4162066","4202992","4242303","4281007","4300137","4325329","4349777","4361129","4369884","4382992","4396191",
"            Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"552418","557318","563099","571323","580734","588986","597980","605556","612270","616380","619871","623599","623478","625829","626756","627816","629704","632958","633969",
"            Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2105948","2124621","2146334","2160953","2180534","2196512","2224282","2248660","2268124","2295210","2319049","2335946","2344005","2356421","2362255","2373639","2375003","2369446","2367040",
"            Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4569201","4637674","4697972","4753818","4830106","4898805","4967050","5016223","5064761","5123884","5185231","5232668","5261260","5283876","5299418","5306889","5311348","5322083","5332492",
"            Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2098783","2116009","2138187","2158971","2172488","2187503","2201813","2212246","2226359","2240503","2256034","2266195","2264130","2262454","2259232","2250935","2239792","2230394","2222351",
"            Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1623266","1635636","1649735","1660519","1673171","1683625","1698246","1710268","1726062","1738760","1753654","1761203","1764972","1765016","1763885","1763891","1757981","1749785","1743303",
"            New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"781149","794364","805719","816087","825009","833390","841347","845543","848519","849983","851456","854258","853069","851037","852661","851663","852036","852821","852643",
"            Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"649773","657402","666478","673219","678648","677711","677632","675842","675503","676624","678040","679206","677971","677297","676909","675785","674515","671769","669848",
"            Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3300212","3334337","3371336","3407560","3441092","3472276","3497912","3521006","3539561","3558917","3573292","3587283","3582835","3583627","3579447","3571122","3561906","3555310","3551992",
"            Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9580480","9808728","10056621","10293975","10592274","10892773","11139744","11283568","11373929","11449646","11569961","11734385","11810097","11903297","12034184","12206720","12403238","12566049","12712173",
"            Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"791952","800438","810697","821487","829092","835368","840227","842851","844967","843974","842266","843047","836560","831353","827751","821817","818345","815302","812001",
"            Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3422671","3456383","3490850","3524106","3559237","3593386","3629768","3659921","3682636","3707509","3730715","3742821","3735986","3734982","3730651","3726816","3720721","3719288","3715658",
"            Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6967551","6999350","7030453","7066159","7093891","7116297","7135220","7149008","7157294","7173122","7190215","7204559","7175963","7171323","7159997","7143100","7125593","7114044","7101095",
